Sector	Actividad	Meta total	Cauca	Buenos Aires	May	Jun	Jul	Ago	Sep	Oct	Nov	Morales	May	Jun	Jul	Ago	Sep	Oct	Nov	Norte de Santander	Abrego	May	Jun	Jul	Ago	Sep	Oct	Nov	Ocaña	May	Jun	Jul	Ago	Sep	Oct	Nov	Convención	May	Jun	Jul	Ago	Sep	Oct	Nov	Teorama	May	Jun	Jul	Ago	Sep	Oct	Nov	Hacarí	May	Jun	Jul	Ago	Sep	Oct	Nov	La Playa de Belén	May	Jun	Jul	Ago	Sep	Oct	Nov
Protección	Sensibilizaciones general (10%)	1600	480	240	0	24	54	54	54	54	0	240	0	24	54	54	54	54	0	1120	240	0	24	54	54	54	54	0	240	0	24	54	54	54	54	0	160	0	16	36	36	36	36	0	160	0	16	36	36	36	36	0	160	0	16	36	36	36	36	0	160	0	16	36	36	36	36	0
Protección	Sensibilizaciones VBG (80%)	6400	1920	960	0	96	216	216	216	216	0	960	0	96	216	216	216	216	0	4480	960	0	96	216	216	216	216	0	960	0	96	216	216	216	216	0	640	0	64	144	144	144	144	0	640	0	64	144	144	144	144	0	640	0	64	144	144	144	144	0	640	0	64	144	144	144	144	0
Protección	Gestión de Casos	1152	576	288	0	48	60	60	60	60	0	288	0	48	60	60	60	60	0	576	96	0	16	20	20	20	20	0	96	0	16	20	20	20	20	0	96	0	16	20	20	20	20	0	96	0	16	20	20	20	20	0	96	0	16	20	20	20	20	0	96	0	16	20	20	20	20	0
Protección	Cash VBG	403	230	115	0	15	25	25	25	25	0	115	0	15	25	25	25	25	0	173	29	0	3	7	7	7	5	0	29	0	3	7	7	7	5	0	29	0	3	7	7	7	5	0	28	0	3	7	7	7	4	0	29	0	3	7	7	7	5	0	29	0	3	7	7	7	5	0
Protección	Kits - CARE Package- (meta hogar)	2400	600	300	0	30	60	75	75	60	0	300	0	30	60	75	75	60	0	1800	300	0	30	60	75	75	60	0	300	0	30	60	75	75	60	0	300	0	30	60	75	75	60	0	300	0	30	60	75	75	60	0	300	0	30	60	75	75	60	0	300	0	30	60	75	75	60	0
Protección	Kits - CARE Package- (meta personas)	9600	2400	1200	0	120	240	300	300	240	0	1200	0	120	240	300	300	240	0	7200	1200	0	120	240	300	300	240	0	1200	0	120	240	300	300	240	0	1200	0	120	240	300	300	240	0	1200	0	120	240	300	300	240	0	1200	0	120	240	300	300	240	0	1200	0	120	240	300	300	240	0
Protección	Espacios seguros mejorados	8	2	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	6	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0
Protección	Espacios seguros participantes	5400	1800	900	0	0	0	180	360	360	0	900	0	0	0	180	360	360	0	3600	900	0	0	0	180	360	360	0	900	0	0	0	180	360	360	0	450	0	0	0	90	180	180	0	450	0	0	0	90	180	180	0	450	0	0	0	90	180	180	0	450	0	0	0	90	180	180	0
Salud	Sensibilizaciones salud	1400	1400	700	0	92	161	161	161	125	0	700	0	92	161	161	161	125	0																																																	
Salud	Servicios salud primaria	2690	2690	1345	0	144	300	300	300	301	0	1345	0	144	300	300	300	301	0																																																	
Salud	Salud primaria personas únicas	1345	1345	673	0	72	150	150	150	151	0	672	0	72	150	150	150	150	0																																																	
Salud	Kits post - parto	140	140	70	0	7	16	16	16	15	0	70	0	7	16	16	16	15	0																																																	
Salud	Atención VBG	576	576	288	0	48	60	60	60	60	0	288	0	48	60	60	60	60	0																																																	
MPC	Entrega cash multipropósito (meta hogar)	576	576	288	0	30	64	66	64	64	0	288	0	30	64	66	64	64	0																																																	
MPC	Entrega cash multipropósito (cantidad de entregas x 3)	1728	1728	864	0	90	192	198	192	192	0	864	0	90	192	198	192	192	0																																																	
																																																																				
Metas mensuales																																																																				
Sector	Actividad	Meta total	May	Jun	Jul	Ago	Sep	Oct	Nov																																																											
Protección	Sensibilizaciones general (10%)	1600	0	160	360	360	360	360	0																																																											
Protección	Sensibilizaciones VBG (80%)	6400	0	640	1440	1440	1440	1440	0																																																											
Protección	Gestión de Casos	1152	0	192	240	240	240	240	0																																																											
Protección	Cash VBG	403	0	48	92	92	92	79	0																																																											
Protección	Kits - CARE Package- (meta hogar)	2400	0	240	480	600	600	480	0																																																											
Protección	Kits - CARE Package- (meta personas)	9600	0	960	1920	2400	2400	1920	0																																																											
Protección	Espacios seguros mejorados	8	0	0	0	8	0	0	0																																																											
Protección	Espacios seguros participantes	5400	0	0	0	1080	2160	2160	0																																																											
Salud	Sensibilizaciones salud	1400	0	184	322	322	322	250	0																																																											
Salud	Servicios salud primaria	2690	0	288	600	600	600	602	0																																																											
Salud	Salud primaria personas únicas	1345	0	144	300	300	300	301	0																																																											
Salud	Kits post - parto	140	0	14	32	32	32	30	0																																																											
Salud	Atención VBG	576	0	96	120	120	120	120	0																																																											
MPC	Entrega cash multipropósito (meta hogar)	576	0	60	128	132	128	128	0																																																											
MPC	Entrega cash multipropósito (cantidad de entregas x 3)	1728	0	180	384	396	384	384	0																																																											
