								May			June			July			August			September			October			November		
Sector	No.	Indicator Title	Actividad (es) asociadas	Target (individuals)	Target (Household)	Target (consultations)	Total value of cash transferred	Monthly target	"Cummulative (LOP)
"	% Cummulative (LOP)	Monthly target	"Cummulative (LOP)
"	% Cummulative (LOP)	Monthly target	"Cummulative (LOP)
"	% Cummulative (LOP)	Monthly target	"Cummulative (LOP)
"	% Cummulative (LOP)	Monthly target	"Cummulative (LOP)
"	% Cummulative (LOP)	Monthly target	"Cummulative (LOP)
"	% Cummulative (LOP)	Monthly target	"Cummulative (LOP)
"	% Cummulative (LOP)
MPCA	C-CA1 -MPC.a:	 Number of households having received Multi-Purpose Cash (MPC)	Entrega MPCA	2016	576			0	0	0%	60	0	0.0%	128	0	0.0%	132	0	0.0%	128	0	0.0%	128	0	0.0%	0	0	#¡DIV/0!
MPCA	CUST-03-C:	 Total value of Sector specific unconditional cash transfers distributed in USD	Entrega MPCA					0	0	0%																		
Health	C-CA1-H.8: 	Number of primary healthcare consultations provided	Servicios Salud Primaria	1345		2690		0	0	0%	288	0	0.0%	600	0	0.0%	600	0	0.0%	600	0	0.0%	602	0	0.0%	0	0	#¡DIV/0!
Health	C-CA11-SP.5: 	Number of violence survivors receiving medical assistance, including clinical management of rape	Atención VBG	576				0	0	0%	96	0	0.0%	120	0	0.0%	120	0	0.0%	120	0	0.0%	120	0	0.0%	0	0	#¡DIV/0!
Protection	C-CA9-CP.3 	Number of children receiving protection support (e.g. family tracing, reunification, reintegration, case management services, etc)						0	0	0%																		
Protection	C-CA9-CP.4: 	Number of people accessing protection activities and/or services through child-friendly spaces						0	0	0%																		
Protection	C-CA11-PS.2:	 Number of people receiving violence psycho-social support and/or violence case management (for medical support, use SP.5)	Gestiones de caso VBG y espacios seguros	6552				0	0	0%	192	0	0.0%	240	0	0.0%	1320	0	0.0%	2400	0	0.0%	2400	0	0.0%	0	0	#¡DIV/0!
Protection	C-CA16 - PP.b: 	Number of people affected benefiting from emergency cash assistance or direct service payments	CASH VBG	403				0	0	0%	48	0	0.0%	92	0	0.0%	92	0	0.0%	92	0	0.0%	79	0	0.0%	0	0	#¡DIV/0!
Protection	CUST-02-P: 	Total value of Sector specific unconditional cash transfers distributed in USD	CASH VBG					0	0	0%																		
GVB Protection	C-CA19 - PS.a:	 Number of individuals who received life‑saving protection support through newly established or strengthened violence prevention and risk‑mitigation mechanisms.	Sensibilizaciones y entrega de CARE Package	17600	2400			0	0	0%	1760	0	0.0%	3720	0	0.0%	4200	0	0.0%	4200	0	0.0%	3720	0	0.0%	0	0	#¡DIV/0!
Nutrition	C-CA3-N.4:	 Number of people screened for acute malnutrition																										
Nutrition	C-CA4-N.6:	 Number of people benefitting training and/or community awareness sessions on infant and young child feeding in emergencies																										
Nutrition	C-CA5-N.a:	 Number of households with malnourished children received cash and voucher assistance																										
Nutrition	CUST-01-N: 	Total value of Sectorspecific unconditional cash transfers distributed in USD																										
WASH	C-CA6-WS.6: 	Number of people accessing sufficient and safe water for drinking, cooking and/or personal hygiene use as per agreed sector standard																										
WASH	C-CA7-WS.c: 	Number of households receiving hygiene kits (incl. menstrual hygiene items)																										
WASH	C-CA8-WS.17: 	Number of people receiving WASH/hygiene messaging																										
AAP	AAP: 	Percentage of issues identified in feedback processes for which solutions are in process or closed						0	0	0%																		
