Marco Lógico						
						
						
Nombre del proyecto	ConEsperanza					
Fecha inicio	5/15/2026	Fecha fin				11/15/2026
Responsable	CARE	Socio				NA
Total participantes directos	28632 (23.251 ÚNICOS)					
Territorios	Cauca (Buenos Aires y Morales) , Norte de Santander (Ocaña, Abrego, Harací, Teorama, La Playa de Belén, Convención)					
Presupuesto	2261471 USD					
						
Objetivo General	Indicadores	Metas		Responsable	Notas	Medios de verificación
Respuesta de emergencia para salvar vidas dirigida a comunidades que se enfrentan graves necesidades humanitarias en municipios prioritarios de  Colombia. 	% de participantes que afirman que la ayuda humanitaria se presta de manera segura, accesible, responsable y participativa	80%		CARE		Encuestas de Satisfacción y PDM
Actividades /productos	Indicadores	Metas doble conteo	Metas únicos	Responsable	Notas	Medios de verificación
1. Protección						
" 1.1 Sensibilización comunitaria, difusión de información y campañas de comunicación sobre los mecanismos de protección disponibles para la población destinataria,  para la prevención de riesgos de protección, la violanción de los derechos y  la prevención de la violencia basada en género.
Actividad estándar OCHA: C-CA19. ACTIVITY. Establishment of protection and prevention mechanisms by identifying high-risk areas and risk factors driving violence against women and girls in the emergency. Strengthen or set up prevention and mitigation strategies, mechanisms and initiatives in support of national and community-based interventions in line with IASC principles and guidelines. Risk mitigation strategies may include the provision of dignity kits and other means of sharing life-saving protection
 information."	C-CA19. INDICATOR 74: Number of individuals who received life‑saving protection support through newly established or strengthened violence prevention and risk‑mitigation mechanisms.	8000	8000	CARE		"1. Listados de Asistencia
2. Actas de actividad (espacios masivos)
3. Registro en CommCare 
4. BBDD sistema de monitoreo CARE COL
5. Archivo seguimiento eventos masivos"
"1.2 Gestión de casos para personas víctimas de conflicto armado, en situación de riesgo o sobrevivientes de violencia de género, incluyendo derivaciones internas y externas
Actividad estándar OCHA: C-CA11. ACTIVITY: Provision of life-saving support to people with specific needs, survivors of violence against women and girls and/or sexual exploitation and abuse. This includes strengthening psychosocial support (PSS) programming and non- specialized Mental Health and Psychosocial Support Services (MHPSS) to individuals, families, and communities that have been exposed to conflict and displacement, political oppression, torture, and violence against women and girls; and support in promoting community mobilization, activating social networks, and the establishment of community centers and safe spaces."	C-CA11. INDICATOR 65. Number of people receiving violence psycho-social support and/or violence case management 	1152	0	CARE		"1. Registro de todo el ciclo de la Gestión de Caso en el sistema de monitoreo de CARE COL
2. BBDD sistema de monitoreo CARE COL"
